commodity_id,commodity,price_2010,2011_inflation,2012_inflation,2013_inflation,2014_inflation,2015_inflation,2016_inflation,2017_inflation,2018_inflation,2019_inflation,2020_inflation,2021_inflation,2022_inflation,2023_inflation,2024_inflation,2025_inflation,total_inflation_rate,price_2025
49,"Small local banana",3.87,40.83,3.49,5.5,-0.84,41.19,9.24,25.49,-4.55,22.2,8.71,-16.57,5.71,24.67,25,64.27,744.7,32.69
36,"Young buffalo with bone (veal)",49.06,16.53,6.52,8.62,21.28,12.68,10.75,35.92,5.09,-0.71,0.24,-1.45,5.77,83.1,39.16,3.23,695.45,390.25
40,Onion,2.64,60.61,12.74,-10.88,31.92,-54.45,59.77,64.3,0,14.14,-8.87,-19.6,-14.41,289.19,16.61,-18.19,576.52,17.86
42,Potato,2.85,43.16,23.77,18.02,-19.13,-1.04,24.32,-8.6,29.7,15.93,7.98,-24.89,16.94,57.57,62.15,-38.94,323.16,12.06
43,Tomato,2.56,58.2,24.44,-30.56,11.71,8.44,-2.12,42.65,0.34,2.19,24.88,-31.66,48.84,28.27,36.5,-32.44,256.25,9.12
44,"Green beans",4.61,5.86,17.42,17.28,19.79,22.11,1.42,-32.8,40.75,78.58,-15.38,-17.89,31.2,35.24,26.06,-7.3,426.25,24.26
45,"Salted lemon",3.58,42.18,7.66,-1.09,24.35,28.19,-1.39,72.18,-26.24,109.61,-33.42,18.01,-14.14,16.54,36.34,143.36,1552.51,59.16
46,"Medium cabbage",4.47,40.04,-8.47,42.93,40.66,-25,-3.13,-9.32,-11.07,28,8.1,-0.64,42.24,50.53,31.96,15.29,576.29,30.23
47,"Medium cucumber",2.27,26.87,51.74,3.66,-7.28,40,-9.52,33.65,1.27,27.08,4.04,-23.63,18.84,43.98,45.26,9.35,770.48,19.76
48,"Small zucchini",2.33,54.94,-6.37,17.75,-22.36,54.37,18.66,0.71,19.3,16.62,-16.39,19.76,27.58,28.83,40.08,3.88,715.02,18.99
38,"Boneless medium-age beef & buffalo (kandoz)",53.78,8.96,7.34,7.82,13.93,12.19,12.67,42.65,6.46,-2.7,-7.89,3.42,21.04,76.43,34.23,3.72,660.1,408.78
50,"Local garlic",9.85,14.52,-4.7,-10.33,71.78,-30.37,23.85,82.07,-36.65,0.91,45.55,27.99,-28.55,44.53,151.61,9.06,790.66,87.73
51,Eggplant,1.57,1.91,18.12,25.93,-26.89,8.62,117.99,34.71,-4.5,39.43,-7.98,-20.88,36.62,22.86,38.1,0.16,695.54,12.49
52,"Yellow carrot (without greens)",3.01,-9.3,1.83,56.12,-5.76,4.16,-8.22,8.95,21.6,36.1,9.65,-13.2,2.53,92.15,8.85,-7.78,340.86,13.27
53,"Green bell pepper",3.26,7.06,-1.72,-14.87,28.08,111.5,-12.39,23.38,-5.38,-4.7,-12.06,12.39,41.73,40.93,24.97,12.67,557.36,21.43
39,"Local mutton with bone",52.14,13.41,6.04,14.35,10.7,12.86,12.88,40.47,6.2,-1.88,-5.83,1.03,15.25,79.78,39.17,4.32,712.41,423.59
37,"Imported frozen beef",25.29,20.32,5.49,6.23,7.33,11.83,14.05,56.83,7.96,0.3,-2.11,0.86,14.9,116.21,38.28,0.93,973.11,271.39
1,"Local duck",25.97,0.69,11.01,14.47,5.87,-6.2,1.64,28.21,8.28,6.36,-1.09,3.94,17.32,87.09,24.21,5.17,462.15,145.99
2,"Local frozen white chicken",19.77,-2.23,15.68,21.2,4.39,9.51,33.21,16.48,-9.47,10.96,-1.39,-4.14,21.03,94.66,23.96,5,608.04,139.98
3,"Farm chicken",14.62,13.95,22.15,13.71,5.88,0,13.96,17.91,-7.11,-4.22,-5.09,11.29,26.73,94.06,20.46,0.46,529.82,92.08
4,"Local chicken",17.32,6.93,15.39,29.06,-2.79,0.86,14.35,23.45,-1.05,9.43,-2.18,7.84,21.77,95.18,19.89,3.13,639.72,128.12
6,"Medium domestic pigeon",26.48,7.25,8.03,21.87,13.77,12.44,1.05,15,0.38,5.79,0.19,-1.44,16.37,62.21,37.5,12.76,544.11,170.56
11,"Loose imported cow butter",24.73,19.49,6.63,27.36,-1.25,-0.2,29.33,88.45,23.93,-4.98,-2.96,6.36,22.85,63.7,52.14,6.35,1441.69,381.26
12,"Aged Romano cheese",38.43,12.83,1.48,11.75,22.7,2.77,3.63,36.58,14.93,7.37,-0.51,-2.38,14.09,61.26,36.37,6.89,633.96,282.06
13,"Fresh milk",4.47,11.63,10.02,8.2,10.94,6.68,8.96,47.91,20.74,5.85,0.48,-0.55,-2.76,54.94,37.34,7.92,622.82,32.31
31,"Local crushed fava beans",5.25,21.33,0.47,8.44,7.06,0.81,36.18,23.53,14.92,63.47,-5.28,-7.85,7.36,54.51,36.85,3.65,825.9,48.61
7,"Aged full-fat white cheese",22.07,7.75,1.77,15.17,32.29,3.61,5.42,28.46,2.03,6.8,3.81,-0.92,14.32,69.87,40.59,4.77,651.43,165.84
28,"Local wheat",2.97,15.49,4.96,13.33,4.41,7.98,20.22,46.47,0.99,-1.59,-12.05,13.98,54.65,74.92,23.55,-0.33,805.05,26.88
21,"Local dry fava beans (for stew)",4.98,54.02,8.21,9.64,10.66,6.06,43.07,12.7,17.77,42.36,11.81,-19.14,-0.31,46.62,26.55,9.3,959.64,52.77
10,"Loose local buffalo butter",34.52,11.24,13.02,11.22,15.64,4.32,13.74,37.78,5.63,1.75,8.89,0.46,9.34,47.75,42.34,12.98,707.39,278.71
14,"Frozen mackerel",7.9,25.44,25.53,21.22,1.99,-5.85,33.43,75.1,18,16.03,-1.73,-9.18,7.18,83.21,45.71,17.44,1658.48,138.92
15,Tilapia,12.27,14.26,23.82,19.53,8.05,8.92,-2.33,32.41,-8.87,16.12,-1.44,-8.35,25.01,92.16,21.04,7.96,672.37,94.77
26,"Local dry beans",6.62,6.04,2.28,79.53,4.89,-24.7,54.32,78.74,1.67,3.99,-0.61,-5.83,3.24,81.67,63.12,-6.16,1105.14,79.78
27,"Crushed lentils",8.83,-3.96,-2.48,2.06,9.36,36.84,23.28,38.86,-5.09,-6.87,-3.09,4.27,34.59,78.22,36.81,-2.02,603.17,62.09
16,"Frozen pasta fish",9.75,5.33,1.75,14.64,5.51,0.87,16.78,83.88,8.36,4.28,-14.77,10.2,47.69,72.67,32.17,14.05,1045.74,111.71
17,Catfish,8.69,15.54,17.33,13.16,2.48,-8.05,-9.63,73.39,-0.66,1.94,-3.61,8.12,27.73,81.76,27.42,8.11,664.33,66.42
18,"Mullet fish",26.59,5.75,13.73,15.17,9.83,-0.37,6.2,40.47,7.55,5.07,-1.35,-8.86,17.06,64.41,27.5,13.85,541.75,170.64
8,"Cottage cheese",10.09,7.23,7.49,15.74,9.36,11.01,5.32,42.48,10.11,-1.7,2.6,5.95,22.6,65.73,41.52,10.82,811.2,91.94
9,"Local buffalo ghee",40.72,11.35,4.32,2.73,17.41,8.76,7.25,41.13,2.51,-1.78,3.74,11.73,18.98,33.06,44.67,10.76,582.96,278.1
30,"Whole local lentils",9.07,-2.43,-0.56,11.36,21.84,29.48,27.23,37.26,-6.37,-1.07,-1.04,-0.77,2.85,77.08,37.51,1.19,586.22,62.24
